family,variant,symbol,timeframe,requested_range,actual_range,net_perf_pct,asset_symbol,asset_perf_pct,excess_vs_asset_pct,beat_asset,max_drawdown_pct,positions,win_rate_pct,notes
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 3-month lookback, defensive BIL",QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,555.38,QQQ,367.0,188.38,True,-42.02,38,71.05,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 12-month lookback, defensive AGG",SPY/QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,392.21,SPY,210.16,182.04,True,-69.92,17,64.71,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 3-month lookback, defensive AGG",SPY/QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,391.9,SPY,210.16,181.74,True,-43.01,41,60.98,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 3-month lookback, defensive AGG",QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,529.96,QQQ,367.0,162.97,True,-42.02,38,65.79,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/SPY rotation, 12-month lookback, defensive BIL",SPY/QQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,354.57,SPY,210.16,144.4,True,-28.56,19,73.68,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/SPY rotation, 12-month lookback, defensive AGG",SPY/QQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,331.04,SPY,210.16,120.88,True,-28.56,19,68.42,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Moving-average crossover / trend following,"SMA3/SMA40 cross, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1276.69,TQQQ,1159.15,117.54,True,-56.51,42,42.86,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA3/SMA40 cross, 20% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1276.69,TQQQ,1159.15,117.54,True,-56.51,42,42.86,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 9-month lookback, defensive BIL",QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,481.89,QQQ,367.0,114.89,True,-69.92,19,78.95,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 12-month lookback, defensive BIL",QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,460.73,QQQ,367.0,93.73,True,-69.92,12,83.33,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 9-month lookback, defensive AGG",QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,456.33,QQQ,367.0,89.33,True,-69.92,19,63.16,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 12-month lookback, defensive AGG",QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,438.57,QQQ,367.0,71.57,True,-69.92,12,75.0,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 1-month lookback, defensive BIL",SPY/QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,266.76,SPY,210.16,56.6,True,-70.68,59,69.49,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 1-month lookback, defensive AGG",SPY/QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,260.01,SPY,210.16,49.85,True,-71.05,59,61.02,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Moving-average crossover / trend following,"SMA5/SMA252 cross, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1191.92,TQQQ,1159.15,32.78,True,-51.56,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA5/SMA252 cross, 20% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1191.92,TQQQ,1159.15,32.78,True,-51.56,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA5/SMA252 state, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1191.92,TQQQ,1159.15,32.78,True,-51.56,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA5/SMA252 state, 20% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1191.92,TQQQ,1159.15,32.78,True,-51.56,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 1-month lookback, defensive BIL",QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,390.82,QQQ,367.0,23.82,True,-74.9,50,72.0,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/SPY rotation, 3-month lookback, defensive BIL",SPY/QQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,232.72,SPY,210.16,22.56,True,-28.56,31,70.97,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 1-month lookback, defensive AGG",QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,382.56,QQQ,367.0,15.56,True,-75.62,50,62.0,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Moving-average crossover / trend following,"SMA5/SMA252 state, 10% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1170.75,TQQQ,1159.15,11.6,True,-51.56,8,62.5,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Momentum / relative strength rotation,"QQQ/SPY rotation, 3-month lookback, defensive AGG",SPY/QQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,217.25,SPY,210.16,7.08,True,-28.56,31,61.29,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Moving-average crossover / trend following,"SMA3/SMA40 state, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1165.13,TQQQ,1159.15,5.98,True,-56.51,43,41.86,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA3/SMA40 state, 20% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1165.13,TQQQ,1159.15,5.98,True,-56.51,43,41.86,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Momentum / relative strength rotation,"QQQ/SPY rotation, 9-month lookback, defensive BIL",SPY/QQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,215.35,SPY,210.16,5.19,True,-28.56,23,69.57,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Moving-average crossover / trend following,"SMA5/SMA20 cross, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1162.75,TQQQ,1159.15,3.6,True,-57.1,58,50.0,Daily ETF parameter search; optimized in-sample; no costs/slippage.
