Date,Symbol,Last,Chg%,Trading Rank,Trading Score,Trading View,Investment Rank,Investment Score,Investment View,Investment Note
2026-05-31,QTUM,159.7500,0.43,2,97,Strong trade,21,55,Hold / watch,"Final stance: HOLD. QTUM closed at 159.75 on 2026 05 29, with a one day return of 0.43% and a 30 calendar day TradingAgents window return of 19.19%."
2026-05-31,RKLB,143.4800,-3.07,5,93,Strong trade,29,41,Speculative / avoid new,"Final stance: BUY. RKLB closed at 143.48 on 2026 05 29, with a one day return of 3.07% and a 30 calendar day TradingAgents window return of 73.89%."
2026-05-31,RKT,14.5100,0.76,29,49,Weak / neutral,21,55,Hold / watch,"Final stance: HOLD. RKT closed at 14.51 on 2026 05 29, with a one day return of 0.76% and a 30 calendar day TradingAgents window return of 0.75%."
2026-05-31,SHLD,67.5300,-0.57,26,57,Weak / neutral,16,63,Hold / watch,"Final stance: HOLD. SHLD closed at 67.53 on 2026 05 29, with a one day return of 0.57% and a 30 calendar day TradingAgents window return of 1.0%."
2026-05-31,SMH,598.9300,-0.15,8,92,Strong trade,2,84,Buy / accumulate,"Long-term buy, wait for better short-term setup; Watch for pullback; risk Medium. Trading score 57.8, investment score 84.0."
2026-05-31,SNDK,1694.9800,3.25,11,90,Strong trade,10,70,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 23.7, investment score 70.0."
2026-05-31,SOFI,18.2200,7.37,25,58,Weak / neutral,21,55,Hold / watch,"Final stance: HOLD. SOFI closed at 18.22 on 2026 05 29, with a one day return of 7.37% and a 30 calendar day TradingAgents window return of 13.17%."
2026-05-31,TSLA,435.7900,-1.43,12,89,Strong trade,28,45,Speculative / avoid new,"Final stance: HOLD. TSLA closed at 435.79 on 2026 05 29, with a one day return of 1.43% and a 30 calendar day TradingAgents window return of 14.19%."
2026-05-31,TSSI,16.4800,21.71,8,92,Strong trade,16,63,Hold / watch,"Final stance: BUY. TSSI closed at 16.48 on 2026 05 29, with a one day return of 21.71% and a 30 calendar day TradingAgents window return of 7.57%."
2026-05-31,URA,50.7600,0.02,28,52,Avoid short-term,21,55,Hold / watch,"Final stance: SELL. URA closed at 50.76 on 2026 05 29, with a one day return of 0.02% and a 30 calendar day TradingAgents window return of 10.03%."
2026-05-31,VRSN,285.3800,-3.63,21,65,Watch / constructive,5,78,Buy / accumulate,"Final stance: HOLD. VRSN closed at 285.38 on 2026 05 29, with a one day return of 3.63% and a 30 calendar day TradingAgents window return of 6.5%."
